順位,チーム名,試合,勝利,敗戦,引分,勝率,勝差,残試合,得点,失点,本塁打,盗塁,打率,防御率,失策,date
3,DeNA,125,63,59,3,0.516,4,18,470,447,95,27,0.249,3.28,60,2023-09-09 14:10:58.521391
4,巨人,125,62,61,2,0.504,1.5,18,481,472,149,42,0.257,3.61,47,2023-09-09 14:10:58.521391
5,ヤクルト,126,50,73,3,0.407,12,17,468,502,104,58,0.24,3.68,65,2023-09-09 14:10:58.521391
6,中日,124,46,74,4,0.383,2.5,19,338,438,57,32,0.239,3.15,71,2023-09-09 14:10:58.521391
1,阪神,125,77,44,4,0.636,M5,18,495,371,69,66,0.248,2.65,73,2023-09-10 14:10:51.813276
2,広島,129,68,57,4,0.544,11,14,447,454,87,71,0.246,3.15,70,2023-09-10 14:10:51.813276
3,DeNA,126,64,59,3,0.52,3,17,476,451,95,27,0.249,3.29,61,2023-09-10 14:10:51.813276
4,巨人,126,63,61,2,0.508,1.5,17,483,473,150,44,0.256,3.58,47,2023-09-10 14:10:51.813276
5,ヤクルト,127,50,74,3,0.403,13,16,472,508,105,58,0.24,3.7,65,2023-09-10 14:10:51.813276
6,中日,125,46,75,4,0.38,2.5,18,339,440,57,32,0.239,3.14,71,2023-09-10 14:10:51.813276
1,阪神,126,78,44,4,0.639,M3,17,496,371,69,66,0.247,2.63,73,2023-09-12 14:12:44.193646
2,広島,130,68,58,4,0.54,12,13,448,456,88,71,0.246,3.15,70,2023-09-12 14:12:44.193646
3,DeNA,127,64,60,3,0.516,3,16,477,454,95,27,0.249,3.29,61,2023-09-12 14:12:44.193646
4,巨人,127,63,62,2,0.504,1.5,16,483,474,150,44,0.255,3.57,47,2023-09-12 14:12:44.193646
5,ヤクルト,128,51,74,3,0.408,12,15,474,509,106,58,0.241,3.68,65,2023-09-12 14:12:44.193646
6,中日,126,47,75,4,0.385,2.5,17,342,441,59,32,0.238,3.13,71,2023-09-12 14:12:44.193646
1,阪神,127,79,44,4,0.642,M1,16,500,371,70,69,0.247,2.61,73,2023-09-13 14:12:46.525520
2,広島,131,68,59,4,0.535,13,12,449,461,89,71,0.246,3.16,74,2023-09-13 14:12:46.525520
3,DeNA,128,64,61,3,0.512,3,15,478,456,96,27,0.248,3.27,61,2023-09-13 14:12:46.525520
4,巨人,128,63,63,2,0.5,1.5,15,483,478,150,44,0.255,3.57,47,2023-09-13 14:12:46.525520
5,ヤクルト,129,52,74,3,0.413,11,14,479,510,108,58,0.24,3.66,65,2023-09-13 14:12:46.525520
6,中日,127,48,75,4,0.39,2.5,16,344,442,60,32,0.238,3.11,71,2023-09-13 14:12:46.525520
1,阪神,128,80,44,4,0.645,優勝,15,504,374,71,69,0.247,2.61,73,2023-09-14 14:12:59.785556
2,広島,132,69,59,4,0.539,13,11,455,466,90,71,0.246,3.18,74,2023-09-14 14:12:59.785556
3,DeNA,129,65,61,3,0.516,3,14,486,459,100,27,0.248,3.27,61,2023-09-14 14:12:59.785556
4,巨人,129,63,64,2,0.496,2.5,14,486,482,152,44,0.255,3.57,49,2023-09-14 14:12:59.785556
5,ヤクルト,130,52,75,3,0.409,11,13,484,516,110,58,0.24,3.68,65,2023-09-14 14:12:59.785556
6,中日,128,48,76,4,0.387,2.5,15,347,450,62,32,0.238,3.15,71,2023-09-14 14:12:59.785556
1,阪神,129,80,45,4,0.64,優勝,14,509,380,71,69,0.248,2.64,74,2023-09-15 14:12:19.775885
2,広島,133,70,59,4,0.543,12,10,461,471,90,72,0.247,3.19,75,2023-09-15 14:12:19.775885
3,DeNA,130,66,61,3,0.52,3,13,489,460,102,27,0.248,3.25,61,2023-09-15 14:12:19.775885
4,巨人,130,64,64,2,0.5,2.5,13,493,482,156,44,0.255,3.54,49,2023-09-15 14:12:19.775885
5,ヤクルト,131,52,76,3,0.406,12,12,485,519,110,59,0.239,3.67,65,2023-09-15 14:12:19.775885
6,中日,129,48,77,4,0.384,2.5,14,347,457,62,32,0.237,3.18,72,2023-09-15 14:12:19.775885
1,阪神,130,81,45,4,0.643,優勝,13,518,383,73,69,0.249,2.63,78,2023-09-16 14:10:52.675707
2,広島,134,70,60,4,0.538,13,9,464,480,90,72,0.247,3.24,75,2023-09-16 14:10:52.675707
